source,target,occurrences,origin_count,origins,article_count,glossary_like,ambiguous,ambiguous_targets,recommended_strategy,recommended_for_yaml
Thruster,推进器,1,1,strong,1,yes,no,推进器,force,yes
Torso,躯干,1,1,strong,1,yes,no,躯干,force,yes
Tox Injectors,毒素注射,1,1,strong,1,yes,no,毒素注射,force,yes
Tracker Drone,追踪无人机,1,1,strong,1,yes,no,追踪无人机,force,yes
Trailblazer Kit,开拓者套组,1,1,strong,1,yes,no,开拓者套组,force,yes
TRAVERSAL,移动,1,1,strong,1,yes,no,移动,force,yes
Traxus,特莱克斯,1,1,h3,1,yes,no,特莱克斯,force,yes
Triage,救援,1,1,h3,1,yes,no,救援,force,yes
Triage Cloaking Device,救援斗篷,1,1,strong,1,yes,no,救援斗篷,force,yes
Trigger Discipline,扳机纪律,1,1,strong,1,yes,no,扳机纪律,force,yes
Turbo Belt,涡轮弹链,1,1,strong,1,yes,no,涡轮弹链,force,yes
Turbo Chamber,涡轮弹膛,1,1,strong,1,yes,no,涡轮弹膛,force,yes
Turbo Drive,涡轮驱动,1,1,strong,1,yes,no,涡轮驱动,force,yes
Twin Tap,双击,1,1,strong,1,yes,no,双击,force,yes
TwinScope Optic (Variable),双镜瞄具（变体）,1,1,strong,1,yes,no,双镜瞄具（变体）,force,yes
Twitch Drop Rewards,Twitch掉落奖励,1,1,strong,1,yes,no,Twitch掉落奖励,force,yes
unique Codex rewards,独特的百科奖励,1,1,strong,1,yes,no,独特的百科奖励,force,yes
V22 Volt Thrower,V22伏特放射器,1,1,strong,1,yes,no,V22伏特放射器,force,yes
V66 Lookout,V66瞭望,1,1,strong,1,yes,no,V66瞭望,force,yes
V75 SCAR,V75 SCAR,1,1,strong,1,yes,no,V75 SCAR,preserve,yes
Vamprea,定制《失落星船：马拉松》夹克,1,1,strong,1,yes,no,定制《失落星船：马拉松》夹克,force,yes
Vandal,暴徒,1,1,h3,1,yes,no,暴徒,force,yes
Vault Breaker,破库者,1,1,strong,1,yes,no,破库者,force,yes
Vector Grenade,矢量手雷,1,1,strong,1,yes,no,矢量手雷,force,yes
Vector Rounds,矢量弹,1,1,strong,1,yes,no,矢量弹,force,yes
Vigilant Lens,警戒镜片,1,1,strong,1,yes,no,警戒镜片,force,yes
Volt Array (Volt Battery Ammo),伏特阵列（伏特电池弹药）,1,1,strong,1,yes,no,伏特阵列（伏特电池弹药）,force,yes
Volt Cell (Fusion Ammo),伏特电芯（融合弹药）,1,1,strong,1,yes,no,伏特电芯（融合弹药）,force,yes
Watch for 1 hour,观看1小时,1,1,strong,1,yes,no,观看1小时,force,yes
Watch for 15 minutes:,观看15分钟：,1,1,strong,1,yes,no,观看15分钟：,force,yes
Watch for 2 hours,观看2小时,1,1,strong,1,yes,no,观看2小时,force,yes
Watch for 3 hours,观看3小时,1,1,strong,1,yes,no,观看3小时,force,yes
Watch for 30 minutes,观看30分钟,1,1,strong,1,yes,no,观看30分钟,force,yes
Weapon Ammo,武器弹药,1,1,strong,1,yes,no,武器弹药,force,yes
Weapon Rewards,武器奖励,1,1,strong,1,yes,no,武器奖励,force,yes
Weapon Skin,武器皮肤,1,1,strong,1,yes,no,武器皮肤,force,yes
Weapon Skin (Style):,武器皮肤（风格）：,1,1,strong,1,yes,no,武器皮肤（风格）：,force,yes
Weapon Sticker,武器贴纸,1,1,strong,1,yes,no,武器贴纸,force,yes
Wellness Beacon,健康信标,1,1,strong,1,yes,no,健康信标,force,yes
Wellness Beacon (Deluxe):,健康信标（豪华）：,1,1,strong,1,yes,no,健康信标（豪华）：,force,yes
– Alarmist (all rarities),——警报主义者（所有稀有度）,1,1,strong,1,yes,no,——警报主义者（所有稀有度）,force,yes
– Brain Freeze (Superior rarity only),——思维冻结（仅限卓越稀有度）,1,1,strong,1,yes,no,——思维冻结（仅限卓越稀有度）,force,yes
– Buffer Overflow (all rarities),——缓存溢出（所有稀有度）,1,1,strong,1,yes,no,——缓存溢出（所有稀有度）,force,yes
– D54 Battle Pistol,——D54战斗手枪,1,1,strong,1,yes,no,——D54战斗手枪,force,yes
– Exterminator (all rarities),——灭绝者（所有稀有度）,1,1,strong,1,yes,no,——灭绝者（所有稀有度）,force,yes
– Ghillie Suit (all rarities),——吉利服（所有稀有度）,1,1,strong,1,yes,no,——吉利服（所有稀有度）,force,yes
– KKV-9SD,——KKV-9SD,1,1,strong,1,yes,no,——KKV-9SD,force,yes
– Refocuser (all rarities),——重新聚焦（所有稀有度）,1,1,strong,1,yes,no,——重新聚焦（所有稀有度）,force,yes
– Scrapyard (all rarities),——废料场（所有稀有度）,1,1,strong,1,yes,no,——废料场（所有稀有度）,force,yes
– Urgent Care (all rarities),——紧急护理（所有稀有度）,1,1,strong,1,yes,no,——紧急护理（所有稀有度）,force,yes
Developer Note:,开发者提示：,16,1,strong,4,no,no,开发者提示：,force,no
Contracts,合约,13,4,h1|h2|h3|strong,12,no,no,合约,force,no
New,全新,13,1,strong,1,no,no,全新,force,no
Item Economy,物品经济,10,2,h1|h2,10,no,no,物品经济,force,no
User Interface and Experience,用户界面和体验,9,2,h1|h2,9,no,no,用户界面和体验,force,no
Implants,植入物,7,2,h3|strong,5,no,no,植入物,force,no
Stability,稳定性,7,2,h1|h2,7,no,no,稳定性,force,no
General,综合,6,2,h1|h2,6,no,no,综合,force,no
Localization,本地化,6,2,h1|h2,6,no,no,本地化,force,no
Runners,疾行者,5,3,h1|h2|h3,5,no,no,疾行者,force,no
Equipment,装备,3,2,h1|h3,3,no,no,装备,force,no
February 26 at 10 AM PT,北京时间2月27日凌晨2点,3,1,strong,2,no,no,北京时间2月27日凌晨2点,force,no
March 2 at 10 AM PT,3月3日凌晨2点,3,1,strong,2,no,no,3月3日凌晨2点,force,no
Season 2 Begins June 2,第2赛季将于6月3日正式开启,3,3,h2|strong|title,2,no,no,第2赛季将于6月3日正式开启,force,no
Welcome to Cryo Archive,欢迎来到低温档案室,3,3,h2|strong|title,1,yes,no,欢迎来到低温档案室,force,no
A Dangerous Climb,攀登天梯，危险相伴,2,2,h2|strong,1,no,no,攀登天梯，危险相伴,force,no
Announcing Season 2 Twitch Drops,第2赛季Twitch掉落,2,2,h2|strong,1,yes,no,第2赛季Twitch掉落,force,no
Announcing the voice cast of Marathon,揭晓《失落星船：马拉松》配音阵容,2,2,h1|strong,1,no,no,揭晓《失落星船：马拉松》配音阵容,force,no
Behind the Curtain,幕后揭秘,2,2,h2|strong,1,no,no,幕后揭秘,force,no
Catch-Up Bonuses for New Players,给新玩家的追赶福利,2,2,h3|strong,1,no,no,给新玩家的追赶福利,force,no
Check This List Before the Reset,重置前请核对这份清单,2,2,h3|strong,1,no,no,重置前请核对这份清单,force,no
Commendations and Rewards,嘉奖和奖励,2,2,h2|strong,1,no,no,嘉奖和奖励,force,no
Complete your first mission:,完成你的第一个任务：,2,1,strong,2,no,no,完成你的第一个任务：,force,no
Cores and Implants – What's the Difference?,核心和植入物 – 有何区别？,2,2,h1|strong,1,no,no,核心和植入物 – 有何区别？,force,no
Cryo Archive Returns June 11,低温档案室于6月12日回归,2,2,h2|strong,1,no,no,低温档案室于6月12日回归,force,no
Customize Your Playstyle,自定义你的游戏风格,2,2,h1|strong,1,yes,no,自定义你的游戏风格,force,no
Depth and Context,背景与详解,2,2,h2|strong,1,no,no,背景与详解,force,no
DEVELOPER NOTE,开发者提示,2,1,strong,1,no,no,开发者提示,force,no
DEVELOPER NOTE:,开发者提示：,2,1,strong,2,no,no,开发者提示：,force,no
Discord is the Hub,枢纽平台Discord,2,2,h2|strong,1,no,no,枢纽平台Discord,force,no
"Discover, Adapt, Survive",探索、适应、生存,2,2,h2|strong,1,no,no,探索、适应、生存,force,no
End of Season Update,赛季末更新,2,2,h2|strong,1,no,no,赛季末更新,force,no
Equipment and Survival,装备和生存,2,2,h2|strong,1,no,no,装备和生存,force,no
FIRST STEP,第一步,2,1,strong,1,yes,no,第一步,force,no
Getting Off the Ship,离开飞船,2,2,h2|strong,1,no,no,离开飞船,force,no
Getting on the Ship,登上飞船,2,2,h2|strong,1,no,no,登上飞船,force,no
Going Dark,白衣夜行,2,1,strong,2,yes,no,白衣夜行,force,no
Guaranteed Map Events and Keys,地图活动和钥匙掉落全面保底,2,2,h3|strong,1,no,no,地图活动和钥匙掉落全面保底,force,no
How to earn Commendations,如何赢得嘉奖,2,2,h3|strong,1,no,no,如何赢得嘉奖,force,no
Introducing Vault Breaker,全新模式“破库者”,2,2,h3|strong,1,yes,no,全新模式“破库者”,force,no
Looking Ahead: Season 2 and Beyond,展望未来：第2赛季及未来内容,2,2,h2|strong,1,yes,no,展望未来：第2赛季及未来内容,force,no
Marathon Launches on March 5,《失落星船：马拉松》将于3月6日发布,2,2,h2|strong,1,no,no,《失落星船：马拉松》将于3月6日发布,force,no
Marathon Releases March 2026,《失落星船：马拉松》将于2026年3月发布,2,2,h1|strong,1,no,no,《失落星船：马拉松》将于2026年3月发布,force,no
Marathon’s Open Play Week Begins June 2,《失落星船：马拉松》公开试玩周于6月3日开启,2,2,h2|strong,1,no,no,《失落星船：马拉松》公开试玩周于6月3日开启,force,no
Mid-Season Begins July 21,赛季中期更新将于7月22日开启,2,2,h2|strong,1,no,no,赛季中期更新将于7月22日开启,force,no
Mods,模组,2,2,h1|h2,2,no,no,模组,force,no
Mods and Buildcrafting,模组与配装,2,2,h2|strong,1,no,no,模组与配装,force,no
More to come!,更多消息，敬请期待！,2,2,h3|strong,1,no,no,更多消息，敬请期待！,force,no
New Consumable: Mercy Kit,新消耗品:仁心包,2,2,h3|strong,1,yes,no,新消耗品:仁心包,force,no
New Experimental Mode: Sponsored Survival,全新实验模式：赞助生存,2,2,h2|strong,1,yes,no,全新实验模式：赞助生存,force,no
New Feature: Stay Together,全新特色：保持团结,2,2,h3|strong,1,no,no,全新特色：保持团结,force,no
New gameplay trailer,全新游戏预告片,2,2,h1|strong,1,no,no,全新游戏预告片,force,no
New Platform Cosmetics,全新平台专属装饰,2,2,h2|strong,1,yes,no,全新平台专属装饰,force,no
New Runner Shell: Sentinel,新疾行者外壳：哨兵,2,2,h2|strong,1,yes,no,新疾行者外壳：哨兵,force,no
New System: The Cradle,全新系统：摇篮,2,2,h2|strong,1,yes,no,全新系统：摇篮,force,no
New Tools for Collaboration,新的协作工具,2,2,h2|strong,1,no,no,新的协作工具,force,no
New Zone: Dire Marsh (Night),新区域：恐怖沼泽（夜间）,2,2,h2|strong,1,yes,no,新区域：恐怖沼泽（夜间）,force,no
New –,全新——,2,1,strong,1,no,no,全新——,force,no
Open Play Week Begins June 2,公开试玩周于6月3日开启,2,2,h2|strong,1,no,no,公开试玩周于6月3日开启,force,no
Out With A Bang,轰动完结,2,2,h2|strong,1,no,no,轰动完结,force,no
PlayStation 5,PlayStation 5,2,2,h3|strong,1,yes,no,PlayStation 5,preserve,no
Pre-orders are available now,现已开放预购。,2,2,h1|strong,1,no,no,现已开放预购。,force,no
Prepare for the Reset,提前做好赛季重置准备,2,2,h2|strong,1,no,no,提前做好赛季重置准备,force,no
Progression,进度,2,2,h1|h3,2,no,no,进度,force,no
Quality of Life Updates,游戏体验更新,2,2,h2|strong,1,no,no,游戏体验更新,force,no
Reach Runner Level 10:,达到疾行者等级10：,2,1,strong,2,yes,no,达到疾行者等级10：,force,no
Reach Runner Level 30:,达到疾行者等级30：,2,1,strong,2,yes,no,达到疾行者等级30：,force,no
Redeem Those Item Rewards!,务必及时领取各类物品奖励！,2,2,h3|strong,1,no,no,务必及时领取各类物品奖励！,force,no
Sandbox Updates and New Gear,沙盒更新与全新装备,2,2,h2|strong,1,no,no,沙盒更新与全新装备,force,no
Season 3 Begins September 22,第3赛季将于9月23日开启,2,2,h2|strong,1,no,no,第3赛季将于9月23日开启,force,no
Security Clearance: Earn Your Way Through,安全权限：沿途斩获,2,2,h2|strong,1,no,no,安全权限：沿途斩获,force,no
Service and Status,服务与状态,2,2,h2|strong,1,no,no,服务与状态,force,no
Steam,Steam,2,2,h3|strong,1,yes,no,Steam,preserve,no
Tau Ceti awaits,天仓五在等待着你,2,2,h1|strong,1,no,no,天仓五在等待着你,force,no
The Start of a Journey Together,共同旅程的起点,2,2,h2|strong,1,no,no,共同旅程的起点,force,no
Weapon Sticker:,武器贴纸：,2,1,strong,1,no,no,武器贴纸：,force,no
Weapons and Sandbox,武器和沙盒,2,2,h2|strong,1,no,no,武器和沙盒,force,no
What to do Today,今日行动指南,2,2,h2|strong,1,no,no,今日行动指南,force,no
What’s in Season 1?,第1赛季内容,2,2,h2|strong,1,yes,no,第1赛季内容,force,no
What’s Next for Marathon?,《失落星船：马拉松》的下一步是什么？,2,2,h1|strong,1,no,no,《失落星船：马拉松》的下一步是什么？,force,no
When the Timer Hits Zero,倒计时归零,2,2,h2|strong,1,no,no,倒计时归零,force,no
Where to Follow,关注渠道,2,2,h2|strong,1,no,no,关注渠道,force,no
#dev-updates,#dev-updates,1,1,strong,1,no,no,#dev-updates,preserve,no
#marathon-community-art-chat,#marathon-community-art-chat,1,1,strong,1,no,no,#marathon-community-art-chat,preserve,no
#marathon-news,#marathon-news,1,1,strong,1,no,no,#marathon-news,preserve,no
#server-status,#server-status,1,1,strong,1,no,no,#server-status,preserve,no
(Style),（风格）,1,1,strong,1,yes,no,（风格）,force,no
+ 7 more!,+7个！,1,1,strong,1,yes,no,+7个！,force,no
a reimagining of and a direct successor to the original games,既是对经典的颠覆重构，也是系列的正统精神续作,1,1,strong,1,no,no,既是对经典的颠覆重构，也是系列的正统精神续作,force,no
across seasons,各个赛季,1,1,strong,1,no,no,各个赛季,force,no
Affected by the Season Reset,赛季重置清空内容,1,1,strong,1,no,no,赛季重置清空内容,force,no
Analytics & Detections,分析与检测,1,1,h3,1,no,no,分析与检测,force,no
and fantasy of Marathon,及幻想,1,1,strong,1,no,no,及幻想,force,no
Andrew Witts,Andrew Witts,1,1,strong,1,yes,no,Andrew Witts,preserve,no
Andy Salisbury,Andy Salisbury,1,1,strong,1,yes,no,Andy Salisbury,preserve,no
Announcing New Bungie Rewards,官宣全新BUNGIE奖励,1,1,h1,1,yes,no,官宣全新BUNGIE奖励,force,no
Assassin’s,刺客,1,1,strong,1,no,no,刺客,force,no
"At launch, Marathon features the voices of...",在游戏上线时，《失落星船：马拉松》的献声阵容包括…,1,1,strong,1,no,no,在游戏上线时，《失落星船：马拉松》的献声阵容包括…,force,no
Audio,音频,1,1,h2,1,yes,no,音频,force,no
Biotoxin Disinjector:,生物毒素分离注射器：,1,1,strong,1,no,no,生物毒素分离注射器：,force,no
Bronze I,青铜I,1,1,strong,1,no,no,青铜I,force,no
BungieServerStatus,BungieServerStatus,1,1,strong,1,yes,no,BungieServerStatus,preserve,no
Can I pre-load Marathon?,可以预载吗？,1,1,h3,1,no,no,可以预载吗？,force,no
Can I preload for Server Slam?,服务器压力测试可以预载吗？,1,1,h3,1,no,no,服务器压力测试可以预载吗？,force,no
cannot,无法,1,1,strong,1,no,no,无法,force,no
Carve a new path through Tau Ceti IV,在天仓五IV开辟全新道路,1,1,h1,1,yes,no,在天仓五IV开辟全新道路,force,no
Check out fun stats from the Slam and get ready for the real deal on March 5.,查看压力测试的有趣统计数据，准备迎接3月6日游戏正式上线。,1,1,subtitle,1,no,no,查看压力测试的有趣统计数据，准备迎接3月6日游戏正式上线。,force,no
cinematic short,过场动画短片,1,1,strong,1,no,no,过场动画短片,force,no
Close to you:,触手可及：,1,1,strong,1,no,no,触手可及：,force,no
Closed Alpha Test runs from April 23 to May 4,首次封闭测试将于4月24日至5月5日进行,1,1,strong,1,no,no,首次封闭测试将于4月24日至5月5日进行,force,no
Combatants,战斗人员,1,1,h1,1,yes,no,战斗人员,force,no
Combatants and Hazards,战斗人员与环境危害,1,1,h1,1,no,no,战斗人员与环境危害,force,no
Come on and Jam,一起挤爆服务器吧,1,1,h1,1,no,no,一起挤爆服务器吧,force,no
Common Enemy:,共同敌人：,1,1,strong,1,no,no,共同敌人：,force,no
Contracts and Events,合约和活动,1,1,h2,1,yes,no,合约和活动,force,no
"CORRECTION, updated at 7:59AM PT on 5/19/2026",更正，北京时间2026年5月19日晚上10点59分更新,1,1,strong,1,no,no,更正，北京时间2026年5月19日晚上10点59分更新,force,no
"Cryo, Ranked, and More Experimental Queues – oh my!",低温档案室、排名模式以及更多实验队列——精彩还远未结束！,1,1,h1,1,no,no,低温档案室、排名模式以及更多实验队列——精彩还远未结束！,force,no
custom Marathon jacket,Vamprea,1,1,strong,1,no,no,Vamprea,force,no
Darksight scopes,暗视瞄准镜,1,1,strong,1,no,no,暗视瞄准镜,force,no
deeper dive into Marathon’s gameplay,更深入地了解《Marathon》,1,1,strong,1,no,no,更深入地了解《Marathon》,force,no
Design:,设计：,1,1,strong,1,no,no,设计：,force,no
Dev Insights: Runner Shells – New Video,开发者见解：疾行者外壳 – 新视频,1,1,title,1,yes,no,开发者见解：疾行者外壳 – 新视频,force,no
Dev Note:,开发者说明：,1,1,strong,1,no,no,开发者说明：,force,no
Developer Note,开发者提示,1,1,strong,1,no,no,开发者提示,force,no
Diamond I,钻石I,1,1,strong,1,no,no,钻石I,force,no
Divebomb:,俯冲轰炸：,1,1,strong,1,no,no,俯冲轰炸：,force,no
Do I need to download the game again if I played the Server Slam?,我参与过服务器压力测试，还需要重新下载吗？,1,1,h3,1,no,no,我参与过服务器压力测试，还需要重新下载吗？,force,no
Does my Server Slam progression carry over to launch?,我在服务器压力测试的进度会继承到正式版吗？,1,1,h3,1,no,no,我在服务器压力测试的进度会继承到正式版吗？,force,no
Duck and Cover,卧倒掩护,1,1,strong,1,no,no,卧倒掩护,force,no
Everything you need to know about the end of Season 1 and seasonal resets,第1赛季收官以及赛季重置的全部须知事项,1,1,subtitle,1,no,no,第1赛季收官以及赛季重置的全部须知事项,force,no
Exit Buddy:,撤离伙伴：,1,1,strong,1,no,no,撤离伙伴：,force,no
"Expanse, Repeater HPR Weapon Style (Pinnacle I)",广域，连击者重型精密步枪武器风格（至臻I）,1,1,strong,1,yes,no,广域，连击者重型精密步枪武器风格（至臻I）,force,no
experimental queue,实验队列,1,1,strong,1,no,no,实验队列,force,no
Factions,阵营,1,1,h2,1,yes,no,阵营,force,no
fairly small playtest,体量相当小的游戏测试,1,1,strong,1,no,no,体量相当小的游戏测试,force,no
favorite moments,内测交流会的创作者笔记,1,1,strong,1,no,no,内测交流会的创作者笔记,force,no
Fight Club:,搏击俱乐部：,1,1,strong,1,no,no,搏击俱乐部：,force,no
Focus and Feedback,重点与反馈,1,1,subtitle,1,no,no,重点与反馈,force,no
Fog of War,战争迷雾,1,1,h3,1,no,no,战争迷雾,force,no
folding stock mod,折叠枪托模组,1,1,strong,1,no,no,折叠枪托模组,force,no
Folding stocks,折叠枪托,1,1,strong,1,no,no,折叠枪托,force,no
free for all players to access or earn,玩家均可免费体验或获取,1,1,strong,1,no,no,玩家均可免费体验或获取,force,no
from the creator alpha summit,高光时刻,1,1,strong,1,no,no,高光时刻,force,no
"Gameplay Reveal Showcase: Trailers, Cinematics & More",实机玩法即将揭晓，请看视频：预告片、游戏内过场动画……还有更多,1,1,title,1,no,no,实机玩法即将揭晓，请看视频：预告片、游戏内过场动画……还有更多,force,no
"Gear up, grab your crew, and fight your way through the UESC Marathon.",整装待发，召集队伍，在UESC马拉松号中杀出重围。,1,1,subtitle,1,no,no,整装待发，召集队伍，在UESC马拉松号中杀出重围。,force,no
"Glacial Impact, Destroyer Shell Style (Gold III)",冰川冲击，毁灭者外壳风格（黄金III）,1,1,strong,1,yes,no,冰川冲击，毁灭者外壳风格（黄金III）,force,no
"Glacial Strafe, Bully SMG Weapon Style (Diamond I)",冰川扫射，恶霸冲锋枪武器风格（钻石I）,1,1,strong,1,yes,no,冰川扫射，恶霸冲锋枪武器风格（钻石I）,force,no
Go behind-the-scenes for the making of Marathon’s music.,深入了解《失落星船：马拉松》音乐的幕后制作过程。,1,1,subtitle,1,no,no,深入了解《失落星船：马拉松》音乐的幕后制作过程。,force,no
Gold I,黄金I,1,1,strong,1,no,no,黄金I,force,no
Group Therapy:,团体治疗：,1,1,strong,1,no,no,团体治疗：,force,no
grow your power,提升能量底线,1,1,strong,1,no,no,提升能量底线,force,no
Herd Immunity:,群体免疫：,1,1,strong,1,no,no,群体免疫：,force,no
High accuracy:,高度准确：,1,1,strong,1,no,no,高度准确：,force,no
How do I claim my platform's weapon charms? What are they?,如何领取各平台专属武器挂件？有哪些挂件？,1,1,h3,1,no,no,如何领取各平台专属武器挂件？有哪些挂件？,force,no
How do I get help or report an issue?,如何获取帮助或反馈问题？,1,1,h3,1,no,no,如何获取帮助或反馈问题？,force,no
How do seasons work? Where can I see what’s coming next?,赛季是如何运作的？后续内容在哪里查看？,1,1,h3,1,no,no,赛季是如何运作的？后续内容在哪里查看？,force,no
I played the Server Slam. When will I get my rewards and do they expire?,我参与过服务器压力测试。奖励何时发放？会过期吗？,1,1,h3,1,no,no,我参与过服务器压力测试。奖励何时发放？会过期吗？,force,no
implants,植入物,1,1,strong,1,no,no,植入物,force,no
"Improved visual fidelity and immersion, including...",提升了视觉效果和沉浸感，包括…,1,1,strong,1,no,no,提升了视觉效果和沉浸感，包括…,force,no
Intensity:,难度：,1,1,strong,1,no,no,难度：,force,no
Introducing C.A.R.R.I. - CyberAcme’s New Protocol,隆重推出赛博艾克米新协议——C.A.R.R.I.,1,1,title,1,no,no,隆重推出赛博艾克米新协议——C.A.R.R.I.,force,no
"Introducing Marathon, aka the Gameplay Reveal Trailer",介绍《Marathon》，也就是实机玩法曝光预告片,1,1,h2,1,no,no,介绍《Marathon》，也就是实机玩法曝光预告片,force,no
Introducing NuCaloric Contract,介绍纽卡洛里合约,1,1,strong,1,yes,no,介绍纽卡洛里合约,force,no
